Small Unit Postcode,Total Rated Power Output In kW
837,4
2484,1.9
2527,4
3409,1.05
3691,1
3740,0.5
3777,0.2
3898,1
4521,0.5
4873,1.5
5048,1.5
6171,1.075
7012,2.52
7109,5
7150,0.36
7261,6
7265,6.3
7302,6
7306,1
7310,3.3
7321,6.3
