Postcode,Total
2529,"4,768"
2530,"6,877"
2533,"3,374"
2534,"1,256"
2535,"2,088"
2536,"4,478"
2537,"3,414"
2538,698
2539,"5,173"
2540,"11,154"
2541,"4,992"
2545,315
2546,"2,413"
2548,"1,815"
2549,957
2550,"4,519"
2551,818
2552,1
2555,11
2556,235
2557,"4,118"
2558,"1,961"
2559,355
2560,"12,527"
2563,282
2564,"1,896"
2565,"5,630"
2566,"5,161"
2567,"7,298"
2568,366
2569,311
2570,"11,320"
2571,"3,183"
2572,987
2573,"1,261"
2574,"1,226"
2575,"3,570"
2576,"2,532"
2577,"3,965"
2578,764
2579,"1,293"
2580,"5,467"
2581,628
2582,"3,361"
2583,"1,052"
2584,159
2585,39
2586,772
2587,855
2588,101
2590,"1,693"
2594,"2,302"
2600,"1,043"
2601,59
2602,"4,274"
2603,"1,128"
2604,997
2605,"1,649"
2606,"1,148"
2607,"2,165"
2609,309
2611,"7,180"
2612,962
2614,"3,291"
2615,"8,708"
2616,13
2617,"4,367"
2618,338
2619,"1,493"
2620,"8,149"
2621,"1,707"
2622,"1,305"
2623,104
2624,11
2625,5
2626,129
2627,"1,106"
2628,450
2629,135
2630,"1,579"
2631,114
2632,358
2633,59
2640,"8,905"
2641,"3,031"
2642,"1,493"
2643,880
2644,671
2645,138
2646,"1,867"
2647,832
2648,665
2649,7
2650,"10,918"
2651,363
2652,"1,083"
2653,637
2655,361
2656,344
2658,402
2659,237
2660,446
2661,2
2663,856
2665,451
2666,"1,180"
2668,107
2669,356
2671,957
2672,460
2675,357
2678,1
2680,"4,452"
2681,329
2700,"1,128"
2701,588
2702,211
2703,154
2705,"2,004"
2706,299
2707,247
2710,"2,436"
2711,828
2712,405
2713,757
2714,883
2715,302
2716,357
2717,242
2720,"1,836"
2721,47
2722,776
2725,89
2726,65
2727,70
2729,454
2730,331
2731,"1,945"
2732,537
2733,164
2734,94
2735,94
2736,83
2737,144
2738,526
2739,315
2745,"5,538"
2747,"8,288"
2748,327
2749,"2,707"
2750,"6,264"
2751,21
2752,"1,409"
2753,"2,492"
2754,"1,429"
2756,"5,502"
2757,151
2758,"1,672"
2759,"4,581"
2760,"4,365"
2761,"6,298"
2762,"4,158"
2763,"5,511"
2765,"14,647"
2766,"2,313"
2767,"4,390"
2768,"5,522"
2769,"3,793"
2770,"7,320"
2773,"1,173"
2774,"2,321"
2775,339
2776,817
2777,"3,269"
2778,559
2779,881
2780,"2,273"
2782,"1,257"
2783,516
2784,260
2785,"1,057"
2786,285
2787,902
2790,"2,718"
2791,86
2792,82
2793,281
2794,"2,326"
2795,"8,231"
2797,87
2798,482
2799,752
2800,"9,054"
2803,85
2804,771
2805,84
2806,184
2807,127
2808,58
2809,59
2810,816
2817,55
2818,176
2820,"1,407"
2821,"1,356"
2822,67
2823,434
2824,679
2825,574
2826,50
2827,"1,060"
2828,237
2829,900
2830,"12,133"
2831,689
2832,682
2833,225
2834,776
2835,"1,208"
2836,292
2838,85
2839,374
2840,846
2842,226
2843,320
2844,405
2845,387
2846,101
2847,534
2848,278
2849,464
2850,"4,101"
2852,753
2864,221
2865,269
2866,644
2867,152
2868,164
2869,418
2870,"2,644"
2871,"1,802"
2873,195
2874,136
2875,229
2876,85
2877,"1,025"
2878,93
2879,332
2880,"6,796"
2898,43
2899,865
2900,318
2901,1
2902,"2,872"
2903,"1,633"
2904,"2,710"
2905,"4,903"
2906,"2,995"
2911,779
2912,661
2913,"6,534"
2914,"5,082"
3000,112
3002,107
3003,146
3004,26
3006,46
3008,118
3011,"1,295"
3012,"2,084"
3013,"1,386"
3015,"1,701"
3016,"1,688"
3018,"1,762"
3019,825
3020,"4,535"
3021,"5,188"
3022,290
3023,"8,675"
3024,"7,216"
3025,"1,565"
3026,951
3027,"1,379"
3028,"3,270"
3029,"26,575"
3030,"18,201"
3031,"1,010"
3032,"2,014"
3033,"1,325"
3034,985
3036,675
3037,"6,242"
3038,"3,222"
3039,977
3040,"1,845"
3041,"1,044"
3042,"1,464"
3043,"1,921"
3044,"2,143"
3045,23
3046,"2,574"
3047,"1,838"
3048,"1,988"
3049,"1,043"
3051,330
3052,171
3053,203
3054,475
3055,979
3056,"1,769"
3057,759
3058,"3,619"
3059,"3,282"
3060,"1,113"
3061,"1,056"
3062,87
3063,88
3064,"19,704"
3065,390
3066,277
3067,317
3068,"1,381"
3070,"2,698"
3071,"1,637"
3072,"3,101"
3073,"4,338"
3074,"2,185"
3075,"2,184"
3076,"4,373"
3078,"1,322"
3079,"1,516"
3081,"1,294"
3082,"3,187"
3083,"3,337"
3084,"2,498"
3085,"1,362"
3087,937
3088,"2,934"
3089,"1,590"
3090,351
3091,301
3093,438
3094,969
3095,"3,236"
3096,266
3097,271
3099,728
3101,"1,727"
3102,579
3103,"1,226"
3104,"1,873"
3105,"1,007"
3106,"1,996"
3107,"1,310"
3108,"2,026"
3109,"2,821"
3111,"1,569"
3113,"1,250"
3114,545
3115,566
3116,"1,541"
3121,"1,251"
3122,963
3123,784
3124,"1,720"
3125,"1,276"
3126,586
3127,"1,616"
3128,"1,440"
3129,"1,589"
3130,"3,385"
3131,"2,504"
3132,"1,647"
3133,"2,997"
3134,"3,603"
3135,"2,240"
3136,"5,286"
3137,"1,980"
3138,"2,861"
3139,"2,238"
3140,"2,418"
3141,450
3142,467
3143,386
3144,643
3145,"1,662"
3146,"1,967"
3147,"1,554"
3148,810
3149,"3,947"
3150,"7,613"
3151,"1,318"
3152,"4,743"
3153,"2,932"
3154,554
3155,"2,772"
3156,"5,238"
3158,741
3159,286
3160,"1,013"
3161,781
3162,"1,257"
3163,"1,989"
3164,21
3165,"2,509"
3166,"1,935"
3167,"1,034"
3168,"1,125"
3169,"1,999"
3170,"2,421"
3171,"2,235"
3172,"2,745"
3173,"4,563"
3174,"3,652"
3175,"5,480"
3176,4
3177,"1,252"
3178,"5,401"
3179,900
3180,"1,208"
3181,569
3182,567
3183,622
3184,669
3185,800
3186,"1,706"
3187,"1,539"
3188,"1,612"
3189,823
3190,873
3191,994
3192,"2,228"
3193,"2,126"
3194,"1,069"
3195,"4,411"
3196,"2,803"
3197,"1,517"
3198,"2,204"
3199,"6,336"
3200,529
3201,"3,304"
3202,316
3204,"2,598"
3205,366
3206,542
3207,633
3211,286
3212,"3,468"
3213,741
3214,"2,947"
3215,"2,404"
3216,"7,727"
3217,"3,458"
3218,"1,594"
3219,"2,564"
3220,"1,838"
3221,504
3222,"3,323"
3223,"2,345"
3224,"2,356"
3225,"1,451"
3226,"3,395"
3227,"1,198"
3228,"4,126"
3230,906
3231,555
3232,236
3233,584
3234,74
3235,133
3236,71
3237,57
3238,73
3239,97
3240,468
3241,583
3242,216
3243,67
3249,544
3250,"1,546"
3251,84
3254,69
3260,637
3264,343
3265,447
3266,478
3267,34
3268,422
3269,141
3270,46
3271,45
3272,278
3273,22
3274,54
3275,60
3276,72
3277,246
3278,67
3279,49
3280,"3,480"
3281,336
3282,362
3283,241
3284,552
3285,215
3286,82
3287,60
3289,140
3292,66
3293,54
3294,160
3300,"1,201"
3301,175
3302,53
3303,41
3304,475
3305,"1,974"
3309,15
3310,48
3311,296
3312,137
3314,100
3315,266
3317,25
3318,253
3319,59
3321,383
3322,25
3323,8
3324,112
3325,116
3328,471
3329,42
3330,32
3331,"1,357"
3332,240
3333,167
3334,86
3335,"3,251"
3336,"4,246"
3337,"5,999"
3338,"6,664"
3340,"4,018"
3341,326
3342,784
3345,327
3350,"8,147"
3351,"1,805"
3352,"3,456"
3353,12
3354,2
3355,"1,569"
3356,"2,115"
3357,688
3358,483
3360,172
3361,123
3363,778
3364,509
3370,462
3371,321
3373,555
3374,106
3375,37
3377,"1,540"
3378,21
3379,126
3380,915
3381,339
3384,137
3385,135
3387,80
3388,110
3390,198
3391,44
3392,121
3393,508
3395,113
3396,164
3400,"2,209"
3401,944
3402,23
3407,76
3409,242
3412,74
3413,28
3414,408
3415,4
3418,525
3419,191
3420,61
3423,106
3424,183
3427,"1,059"
3428,123
3429,"6,667"
3430,51
3431,849
3432,44
3433,53
3434,"1,086"
3435,674
3437,"2,042"
3438,449
3440,327
3441,189
3442,"1,945"
3444,"2,107"
3446,295
3447,168
3448,304
3450,"1,825"
3451,"1,514"
3453,542
3458,627
3460,654
3461,"1,258"
3462,356
3463,790
3464,262
3465,"2,099"
3467,337
3468,88
3469,77
3472,449
3475,97
3477,205
3478,559
3480,359
3482,54
3483,190
3485,69
3487,20
3488,20
3489,11
3490,231
3491,30
3494,118
3496,"1,307"
3498,"1,177"
3500,"5,493"
3501,548
3502,53
3505,"1,022"
3506,3
3507,36
3509,59
3512,82
3515,588
3516,162
3517,416
3518,351
3520,45
3521,164
3522,113
3523,"1,158"
3525,328
3527,177
3529,21
3530,26
3531,34
3533,165
3537,245
3540,75
3542,34
3544,58
3546,96
3549,611
