Postcode,Total
5271,"1,640"
5272,162
5273,16
5275,731
5276,497
5277,618
5278,110
5279,106
5280,"1,856"
5290,"3,804"
5291,"2,141"
5301,152
5302,243
5303,40
5304,184
5306,18
5307,192
5308,32
5309,25
5310,13
5311,76
5312,1
5320,457
5321,146
5322,304
5330,"1,113"
5331,128
5332,155
5333,"1,870"
5340,444
5341,"2,320"
5342,365
5343,"1,392"
5344,262
5345,"1,118"
5346,96
5350,197
5351,"1,964"
5352,"1,752"
5353,"1,294"
5354,234
5355,"2,630"
5356,250
5357,260
5360,369
5371,622
5372,814
5373,"1,148"
5374,475
5381,118
5400,334
5401,214
5410,87
5411,92
5412,397
5413,253
5414,35
5415,88
5416,73
5417,456
5418,33
5419,61
5420,25
5421,43
5422,524
5431,303
5432,71
5433,488
5434,125
5440,42
5451,270
5452,162
5453,"1,538"
5454,103
5455,12
5460,230
5461,841
5462,154
5464,147
5470,35
5471,15
5472,62
5473,249
5480,318
5481,208
5482,170
5483,102
5485,218
5490,51
5491,600
5493,30
5495,275
5501,"3,352"
5502,503
5510,42
5520,187
5521,44
5522,755
5523,537
5540,"4,031"
5550,251
5552,90
5554,"1,605"
5555,210
5556,"1,959"
5558,"2,479"
5560,179
5570,311
5571,900
5572,54
5573,909
5575,"1,363"
5576,413
5577,246
5580,154
5581,384
5582,361
5583,506
5600,"2,063"
5601,91
5602,494
5603,166
5604,91
5605,615
5606,"3,148"
5607,"1,578"
5608,"2,757"
5609,440
5611,42
5630,28
5631,321
5632,55
5633,66
5640,355
5641,293
5642,54
5650,27
5651,29
5652,178
5653,14
5654,75
5655,21
5660,6
5661,29
5670,164
5671,58
5680,817
5690,820
5700,"2,722"
5701,14
5710,787
5713,5
5715,2
5717,16
5719,17
5720,11
5722,28
5723,94
5724,7
5725,399
5730,27
5731,62
5732,78
5733,27
5734,9
5875,1
5950,7
6000,622
6001,3
6003,218
6004,236
6005,251
6006,"1,375"
6007,997
6008,"2,020"
6009,"2,548"
6010,"2,950"
6011,"1,327"
6012,"1,315"
6013,1
6014,"3,324"
6015,"1,293"
6016,"1,450"
6017,637
6018,"7,284"
6019,"2,947"
6020,"4,764"
6021,"3,770"
6022,"1,291"
6023,"3,768"
6024,"3,451"
6025,"7,466"
6026,"6,175"
6027,"9,969"
6028,"6,035"
6029,524
6030,"10,023"
6031,"4,953"
6032,55
6033,143
6034,"1,757"
6035,"3,255"
6036,"3,964"
6037,"1,317"
6038,"3,672"
6041,643
6042,41
6043,112
6044,487
6050,"2,241"
6051,"1,334"
6052,"1,871"
6053,"2,902"
6054,"4,293"
6055,"10,468"
6056,"9,677"
6057,"4,158"
6058,"3,530"
6059,"4,515"
6060,"2,939"
6061,"5,004"
6062,"6,416"
6063,"3,714"
6064,"6,014"
6065,"18,468"
6066,"4,385"
6067,2
6068,24
6069,"13,012"
6070,917
6071,838
6072,240
6073,814
6074,303
6076,"5,424"
6077,604
6078,211
6079,5
6081,"1,198"
6082,861
6083,"1,147"
6084,"3,054"
6090,527
6100,"1,894"
6101,"2,641"
6102,"1,540"
6103,"1,196"
6104,"2,524"
6105,"2,582"
6106,301
6107,"9,183"
6108,"5,589"
6109,"3,098"
6110,"10,583"
6111,"5,706"
6112,"18,404"
6121,962
6122,"6,599"
6123,677
6124,350
6125,975
6126,71
6147,"3,267"
6148,"4,343"
6149,"4,760"
6150,"2,936"
6151,"2,127"
6152,"4,154"
6153,"3,960"
6154,"2,311"
6155,"13,735"
6156,"3,335"
6157,"2,371"
6158,"1,287"
6159,404
6160,"1,183"
6161,4
6162,"2,304"
6163,"11,392"
6164,"17,100"
6165,61
6166,"2,499"
6167,"7,128"
6168,"5,769"
6169,"9,333"
6170,"4,632"
6171,"11,659"
6172,"3,847"
6173,"3,304"
6174,"1,472"
6175,"1,131"
6176,575
6180,"2,197"
6181,177
6207,503
6208,"4,659"
6209,563
6210,"22,103"
6211,"2,926"
6213,199
6214,204
6215,"1,191"
6218,163
6219,32
6220,"1,129"
6221,61
6223,39
6224,310
6225,"2,155"
6226,295
6227,216
6228,36
6229,54
6230,"9,144"
6231,18
6232,"3,014"
6233,"5,327"
6236,649
6237,754
6239,"1,387"
6240,66
6243,8
6244,290
6251,118
6252,33
6253,218
6254,122
6255,"1,041"
6256,59
6258,965
6260,257
6262,162
6271,"1,046"
6275,437
6280,"7,836"
6281,"2,416"
6282,660
6284,640
6285,"1,996"
6286,391
6288,145
6290,409
6302,"1,115"
6304,553
6306,220
6308,375
6309,83
6311,136
6312,806
6313,59
6315,412
6316,81
6317,579
6318,76
6320,94
6321,63
6322,48
6323,212
6324,564
6326,85
6327,50
6328,58
6330,"5,049"
6331,2
6332,6
6333,"1,217"
6335,154
6336,62
6337,55
6338,138
6341,42
6343,22
6346,71
6348,179
6350,70
6351,8
6352,38
6353,139
6355,74
6356,22
6357,14
6358,9
6359,72
6361,18
6363,24
6365,121
6367,52
6368,14
6369,161
6370,81
6372,30
6373,12
6375,248
6383,217
6384,4
6385,5
6386,9
6390,421
6391,166
6392,86
6393,26
6394,42
6395,268
6396,37
6397,35
6398,121
6401,"1,698"
6403,47
6405,60
6407,200
6409,56
6410,200
6411,17
6412,11
6413,9
6414,6
6415,592
6418,210
6419,12
6420,7
6421,24
6422,6
6423,75
6424,12
6425,22
6426,179
6427,2
6428,17
6429,162
6430,"2,580"
6431,13
6432,943
6433,7
6434,16
6436,14
6437,190
6438,71
6440,32
6442,232
6443,90
6445,8
6446,8
6447,16
6448,17
6450,"1,277"
6452,1
6460,161
6461,113
6462,14
6463,2
6465,10
6466,14
6467,4
6468,39
6472,35
6473,9
6475,78
6476,11
6477,40
6479,125
6480,3
6484,12
6485,122
6487,6
6488,48
6489,15
6490,46
6501,348
6502,451
6503,787
6504,46
6505,30
6506,20
6507,156
6509,14
6510,384
6511,180
6512,13
6513,31
6514,249
6515,65
6516,754
6517,104
6518,53
6519,133
6521,99
6522,123
6525,"1,008"
6528,105
6530,"6,499"
6531,8
6532,"1,541"
6535,431
6536,418
6537,140
6556,538
6558,198
6560,351
6562,455
6564,114
6566,"1,208"
6567,148
6568,42
6569,72
6571,13
6572,10
6574,6
6575,19
6603,223
6605,1
6606,22
6608,20
6609,171
6612,38
6613,9
6614,4
6616,31
6620,72
6623,127
6625,9
6627,8
6628,8
6630,100
6631,7
6632,11
6635,22
6638,80
6639,29
6640,47
6642,94
6643,1
6646,16
6701,505
6705,24
6707,379
6710,310
6713,91
6714,"1,119"
6716,6
6718,63
6720,39
6721,239
6722,427
6725,965
6726,341
6728,283
6740,56
6743,442
6751,39
6753,135
6754,10
6758,16
6760,43
6765,48
6770,55
6798,185
6799,15
6872,1
6901,2
6902,1
6903,3
6904,2
6906,3
6907,2
6909,5
6910,2
6911,3
6912,4
6913,2
6914,4
6915,4
6916,3
6917,1
6918,3
6920,2
6921,8
6922,9
6923,6
6924,5
6926,8
6929,2
6931,3
6933,6
6934,3
6935,3
6941,1
6943,3
6944,4
6946,5
6947,1
6951,2
6952,4
6953,6
6954,4
6955,15
6956,1
6957,3
6959,5
6963,4
6964,7
6966,5
6968,7
6979,4
6981,4
6982,3
6984,3
6985,5
6988,3
6989,4
6990,4
6991,6
6992,8
7000,"1,263"
7001,6
7002,3
7004,787
7005,"1,148"
7006,10
7007,429
7008,"1,218"
7009,"1,061"
7010,"1,326"
7011,"1,470"
7012,123
7015,"1,221"
7016,228
7017,"1,024"
7018,"2,603"
7019,755
7020,454
7021,342
7022,160
7023,82
7024,98
7025,327
7026,174
7027,42
7030,"1,969"
7050,"1,698"
7051,25
7052,980
7053,487
7054,"1,401"
7055,72
7109,"1,447"
7112,646
7113,195
7116,408
7117,181
7119,4
7120,221
7140,"1,252"
7150,657
7155,222
7162,137
7163,87
7170,933
7171,439
7172,581
7173,"1,242"
7174,31
7175,34
7176,17
7177,74
7178,72
7179,89
7180,34
7182,56
7183,2
7184,187
7185,31
7186,37
7187,21
7190,765
7209,59
7210,116
7211,14
7212,274
7213,44
7214,87
7215,845
7216,770
7248,"1,369"
7249,"1,260"
7250,"5,472"
7252,573
7253,717
7254,82
7255,273
7256,329
7257,2
7258,155
7259,80
7260,424
7261,45
7262,292
7263,75
7264,92
7265,29
7267,146
7268,176
7270,935
7275,611
7276,86
7277,"1,055"
7290,319
7291,102
7292,71
7300,512
7301,641
7302,182
7303,429
7304,945
7305,179
7306,621
7307,"1,547"
7310,"2,856"
7315,"1,853"
7316,820
7320,"1,435"
7321,626
7322,426
7325,"1,085"
7330,642
7331,67
7466,6
7467,151
7468,63
7469,80
7470,76
7802,1
8576,2
9729,1
