2021 Postal Area (POA) Code,Usual Resident Population,Score,Decile
6443,722 ,872,1
6445,159 ,1039,8
6446,113 ,1085,10
6447,174 ,1084,10
6448,406 ,1030,7
6450,13159 ,999,5
6452,4 ,1078,9
6460,688 ,970,3
6461,494 ,948,2
6462,177 ,1041,8
6463,23 ,1032,7
6465,42 ,1041,8
6466,56 ,1032,7
6467,30 ,1032,7
6468,194 ,1078,9
6470,20 ,1078,9
6472,151 ,974,4
6473,53 ,1050,8
6475,350 ,978,4
6476,44 ,993,5
6477,242 ,993,5
6479,558 ,1018,7
6480,39 ,1053,8
6485,447 ,895,1
6487,45 ,920,1
6488,162 ,920,1
6489,86 ,920,1
6490,255 ,979,4
6501,921 ,1089,10
6502,1221 ,1034,7
6503,2354 ,1035,7
6504,213 ,1045,8
6505,134 ,1045,8
6506,58 ,1057,9
6507,530 ,1026,7
6509,152 ,1057,9
6510,1940 ,963,3
6511,480 ,1010,6
6512,92 ,1048,8
6513,162 ,1018,7
6514,639 ,969,3
6515,323 ,1037,8
6516,1985 ,1006,6
6517,407 ,982,4
6518,209 ,952,2
6519,575 ,964,3
6521,347 ,1046,8
6522,407 ,1028,7
6525,3680 ,984,4
6528,378 ,1037,8
6530,33378 ,971,3
6532,6915 ,1063,9
6535,1609 ,979,4
6536,1478 ,981,4
6537,995 ,933,2
6556,1969 ,1081,9
6558,2613 ,1044,8
6560,1372 ,994,5
6562,1413 ,1062,9
6564,330 ,990,5
6566,3296 ,1004,6
6567,485 ,1023,7
6568,210 ,1035,8
6569,270 ,1006,6
6571,67 ,1000,5
6572,61 ,1057,9
6574,64 ,1105,10
6575,101 ,1048,8
6603,1110 ,963,3
6605,41 ,1032,7
6606,133 ,1032,7
6608,150 ,1063,9
6609,852 ,1022,7
6612,162 ,1026,7
6613,51 ,1057,9
6614,20 ,1105,10
6616,61 ,1105,10
6620,518 ,996,5
6623,575 ,931,2
6625,57 ,1067,9
6627,57 ,1067,9
6628,23 ,1064,9
6630,482 ,904,1
6631,13 ,1021,7
6632,63 ,1064,9
6635,379 ,863,1
6638,653 ,890,1
6639,109 ,960,3
6640,215 ,895,1
6642,1200 ,831,1
6646,535 ,741,1
6701,5259 ,913,1
6705,170 ,805,1
6707,3074 ,998,5
6710,940 ,987,5
6713,1282 ,1093,10
6714,17657 ,1034,7
6716,1084 ,948,2
6718,977 ,731,1
6720,2279 ,995,5
6721,4367 ,1016,6
6722,11305 ,957,3
6725,11236 ,916,1
6726,5730 ,968,3
6728,5365 ,760,1
6740,1477 ,687,1
6743,6455 ,873,1
6751,4007 ,980,4
6753,6761 ,948,2
6754,1324 ,969,3
6758,1159 ,686,1
6760,927 ,700,1
6762,657 ,510,1
6765,1678 ,642,1
6770,3149 ,584,1
6798,1692 ,943,2
6799,593 ,980,4
7000,15645 ,943,2
7004,7982 ,966,3
7005,13947 ,982,4
7007,3387 ,1017,6
7008,13210 ,971,3
7009,13898 ,910,1
7010,18372 ,887,1
7011,15742 ,927,2
7012,838 ,1040,8
7015,11290 ,995,5
7016,3171 ,892,1
7017,6300 ,1052,8
7018,23450 ,978,4
7019,7744 ,895,1
7020,2665 ,1099,10
7021,2592 ,1055,9
7022,963 ,1020,7
7023,383 ,1015,6
7024,602 ,1089,10
7025,1822 ,1036,8
7026,1158 ,1028,7
7027,372 ,958,3
7030,19720 ,920,1
7050,14593 ,973,4
7052,7688 ,1031,7
7053,3637 ,1043,8
7054,9609 ,1049,8
7055,540 ,1001,5
7109,9872 ,1006,6
7112,3496 ,946,2
7113,1301 ,971,3
7116,2490 ,971,3
7117,923 ,960,3
7119,47 ,968,3
7120,1892 ,970,3
7140,12069 ,944,2
7150,3191 ,1020,7
7155,943 ,1035,7
7162,667 ,1040,8
7163,397 ,1029,7
7170,5734 ,1100,10
7171,3824 ,992,5
7172,4435 ,984,4
7173,7509 ,998,5
7174,200 ,1015,6
7175,184 ,1009,6
7176,185 ,1015,6
7177,449 ,964,3
7178,325 ,932,2
7179,422 ,975,4
7180,167 ,932,2
7182,247 ,942,2
7183,42 ,956,3
7184,909 ,920,1
7185,139 ,987,5
7186,196 ,987,5
7187,138 ,932,2
7190,3458 ,959,3
7209,414 ,951,2
7210,1076 ,921,1
7211,261 ,976,4
7212,1778 ,994,5
7213,298 ,879,1
7214,630 ,907,1
7215,4066 ,950,2
7216,3563 ,927,2
7248,17177 ,857,1
7249,14056 ,936,2
7250,51133 ,960,3
7252,2993 ,1041,8
7253,5160 ,868,1
7254,562 ,1010,6
7255,856 ,966,3
7256,1617 ,987,5
7257,64 ,616,1
7258,962 ,1102,10
7259,505 ,1028,7
7260,3334 ,955,3
7261,244 ,931,2
7262,1891 ,979,4
7263,632 ,942,2
7264,574 ,933,2
7265,233 ,927,2
7267,805 ,1053,8
7268,1133 ,1006,6
7270,4370 ,943,2
7275,3366 ,1009,6
7276,641 ,993,5
7277,6524 ,1037,8
7290,2429 ,990,5
7291,721 ,1029,7
7292,655 ,1018,7
7300,3933 ,1012,6
7301,4717 ,956,3
7302,1753 ,979,4
7303,3031 ,984,4
7304,6265 ,963,3
7305,1265 ,955,3
7306,4276 ,987,5
7307,11849 ,979,4
7310,28635 ,930,2
7315,15635 ,954,3
7316,6285 ,999,5
7320,17138 ,907,1
7321,4968 ,1000,5
7322,4067 ,926,1
7325,9015 ,952,2
7330,6731 ,965,3
7331,595 ,979,4
7466,32 ,1033,7
7467,1808 ,878,1
7468,697 ,943,2
7469,772 ,878,1
7470,752 ,861,1
,,,
,,,
© Commonwealth of Australia 2023,,,
