Postcode,Total
837,1
2484,1
2527,1
3409,1
3691,1
3740,1
3777,1
3898,1
4521,1
4873,1
5048,1
6171,1
7012,2
7109,1
7150,1
7261,1
7265,1
7302,1
7306,1
7310,1
7321,1
